Comune,Provincia,Regione,Nome,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Morbegno,SONDRIO,Lombardia,Cinema Pedretti,2015,2833186450,9.568797,46.1335661
Morbegno,SONDRIO,Lombardia,Cinema Tre,2015,2833186451,9.5688563,46.1339049999999
Sondrio,SONDRIO,Lombardia,excelsior,2014,2575898174,9.8734873,46.1701089999999
Abbiategrasso,MILANO,Lombardia,cinema al corso,2009,450562080,8.9153854,45.4023358
Arese,MILANO,Lombardia,Cinema Teatro Arese,2012,1999713424,9.0781139,45.5496881999999
Arluno,MILANO,Lombardia,Cinema Oratorio,2010,609695758,8.9368814,45.5059436
Bellinzago Lombardo,MILANO,Lombardia,Arcadia,2014,906715849,9.4540535,45.5459809999999
Bollate,MILANO,Lombardia,Splendor,2010,912755868,9.1135272,45.5421152999999
Bresso,MILANO,Lombardia,,2009,577786811,9.188347,45.5376417
Cernusco sul Naviglio,MILANO,Lombardia,Cine Teatro Agoré,2013,445325846,9.3321927,45.5265469
Gorgonzola,MILANO,Lombardia,Cinema Sala Argentia,2012,544451639,9.4031681,45.5325354
Legnano,MILANO,Lombardia,Cinema Galleria,2014,714791302,8.9179521,45.5939776
Legnano,MILANO,Lombardia,Cinema Ratti,2012,868475135,8.91841389999999,45.5941967999999
Milano,MILANO,Lombardia,Anteo,2015,252634867,9.1876422,45.4796945
Milano,MILANO,Lombardia,Apollo,2009,435199449,9.1946808,45.4657452
Milano,MILANO,Lombardia,Arcobaleno Film Center,2015,442138046,9.20563819999999,45.4770526
Milano,MILANO,Lombardia,Arena Umanitaria,2012,1977225057,9.2010307,45.4594328
Milano,MILANO,Lombardia,Arianteo Conservatorio,2012,1977225058,9.2034005,45.4647691999999
Milano,MILANO,Lombardia,Ariosto,2012,442586656,9.16599549999999,45.4690707
Milano,MILANO,Lombardia,Arlecchino,2014,2420779234,9.1953561,45.4663034
Milano,MILANO,Lombardia,Centrale,2012,442587403,9.1857518,45.4622128
Milano,MILANO,Lombardia,Cinema Orchidea,2015,3840440921,9.17646689999999,45.4656901999999
Milano,MILANO,Lombardia,Colosseo,2012,442587550,9.20793729999999,45.4616400999999
Milano,MILANO,Lombardia,Don Bosco,2013,358878181,9.1998057,45.4882430999999
Milano,MILANO,Lombardia,Ducale,2012,29978509,9.1546299,45.452398
Milano,MILANO,Lombardia,Eliseo,2012,442588357,9.1825204,45.4608443999999
Milano,MILANO,Lombardia,Europlex Bicocca,2012,250051812,9.2161433,45.5219372999999
Milano,MILANO,Lombardia,Garden,2014,255138301,9.240539,45.4879746
Milano,MILANO,Lombardia,Gloria,2012,268616396,9.16186139999999,45.4665478
Milano,MILANO,Lombardia,Gnomo,2009,442590118,9.17572479999999,45.4615624999999
Milano,MILANO,Lombardia,Mexico,2011,442591065,9.1602902,45.452694
Milano,MILANO,Lombardia,Odeon,2013,251293086,9.192365,45.4651207
Milano,MILANO,Lombardia,Orfeo,2012,268616425,9.1695974,45.4568733999999
Milano,MILANO,Lombardia,Rosetum,2014,995613962,9.1403155,45.4670070999999
Milano,MILANO,Lombardia,Spazio Oberdan,2013,1977225059,9.20396659999999,45.4753722999999
Milano,MILANO,Lombardia,UCI Cinemas Certosa,2012,714322674,9.1281504,45.5096400999999
Pioltello,MILANO,Lombardia,UCI cinemas,2009,445312008,9.3222878,45.5030126999999
Rozzano,MILANO,Lombardia,Medusa multisala,2010,590353684,9.1778093,45.3893021
Sesto San Giovanni,MILANO,Lombardia,Skyline,2012,1505376846,9.2183104,45.5295891
Albino,BERGAMO,Lombardia,Cineteatro Nuovo,2014,1975212592,9.7937948,45.7595257999999
Alzano Lombardo,BERGAMO,Lombardia,Cineam dell'oratorio di Alzano Lombardo,2014,3021940972,9.7292208,45.7355448
Bergamo,BERGAMO,Lombardia,Conca Verde,2009,450615075,9.62915609999999,45.6935511
Branzi,BERGAMO,Lombardia,,2012,1811307308,9.7597956,46.0031228
Romano di Lombardia,BERGAMO,Lombardia,Multisala il Borgo,2014,3242944010,9.7579622,45.532643
Sorisole,BERGAMO,Lombardia,Cinema Agoré,2013,1638074371,9.6345008,45.7336128999999
Bagnolo Mella,BRESCIA,Lombardia,,2013,2441147381,10.1775296999999,45.4289399999999
Brescia,BRESCIA,Lombardia,Astra,2014,733086608,10.2202902,45.5391741999999
Brescia,BRESCIA,Lombardia,Moretto,2010,733086600,10.2231162999999,45.5354417
Brescia,BRESCIA,Lombardia,Multisala OZ,2015,1265574878,10.1778353,45.5233788
Brescia,BRESCIA,Lombardia,Multisala Wiz,2014,732898944,10.2077766,45.534661
Brescia,BRESCIA,Lombardia,Nuovo Eden,2013,1773639455,10.2173856,45.5444019999999
Brescia,BRESCIA,Lombardia,Sociale,2015,733086621,10.2204786999999,45.5359266
Capriolo,BRESCIA,Lombardia,Gemini,2009,370344532,9.93107919999999,45.6320101
Collebeato,BRESCIA,Lombardia,Cinema San Filippo Neri,2014,2793795094,10.2141996,45.5845393999999
Desenzano del Garda,BRESCIA,Lombardia,Cinema Paolo VI,2014,3013962671,10.538042,45.4711301999999
Gargnano,BRESCIA,Lombardia,Il teatrino,2016,3979506088,10.6645962,45.6907061
Montichiari,BRESCIA,Lombardia,Cinema Teatro Gloria,2013,2148210147,10.3909049,45.4134115
Rovato,BRESCIA,Lombardia,,2013,2121226949,9.9994181,45.5655628
Salo',BRESCIA,Lombardia,Cinema teatro Cristal,2012,1403540617,10.5233089,45.6074313
Montebello della Battaglia,PAVIA,Lombardia,The Space Multisala,2014,2698875903,9.07075629999999,44.9999096
Parona,PAVIA,Lombardia,Movie Planet Parona,2014,694681554,8.78842979999999,45.2763516999999
Pavia,PAVIA,Lombardia,Cinema Teatro Politeama,2015,3569173697,9.1518862,45.1860213
Rivanazzano,PAVIA,Lombardia,Cinema Sociale,2013,2433981108,9.01378169999999,44.9320092999999
Voghera,PAVIA,Lombardia,Cinema - Teatro Arlecchino,2012,623548753,9.0088278,44.988587
Bagnolo Cremasco,CREMONA,Lombardia,,2013,2286070168,9.6097943,45.3617041999999
Crema,CREMONA,Lombardia,Sala Alessandrini,2015,3771702547,9.6817103,45.3552491
Cremona,CREMONA,Lombardia,,2013,854329790,9.9972482,45.1495875999999
Spino d'Adda,CREMONA,Lombardia,Cinema Vottoria,2015,3364335016,9.4908381,45.3990074
Asola,MANTOVA,Lombardia,San Carlo,2011,1477405279,10.4135705,45.2215855999999
Mantova,MANTOVA,Lombardia,,2014,2820177751,10.8253162,45.1686381
Bressanone,BOLZANO,Trentino-Alto Adige,Sternkino,2014,2398204047,11.6570842,46.7177184
Caldaro sulla Strada del Vino,BOLZANO,Trentino-Alto Adige,,2015,1743011198,11.2509636,46.417842
Cles,TRENTO,Trentino-Alto Adige,,2012,939451818,11.0362568,46.3661283
Coredo,TRENTO,Trentino-Alto Adige,Cinema Dolomiti,2013,2140551480,11.0910244,46.3487190999999
Folgaria,TRENTO,Trentino-Alto Adige,Cinema Paradiso,2012,1806514145,11.1685025,45.9172028999999
Lavarone,TRENTO,Trentino-Alto Adige,Cinema Dolomiti,2014,1732128586,11.2509355,45.9418987999999
Lavarone,TRENTO,Trentino-Alto Adige,Cinema Teatro Dolomiti,2014,3170252310,11.2511174,45.9418117
Male',TRENTO,Trentino-Alto Adige,Cinema Comunale,2011,1098424206,10.9139295,46.3530415
Pergine Valsugana,TRENTO,Trentino-Alto Adige,Cinema  Teatro Pergine Valsugana,2014,2853936060,11.2391965,46.0622048
Predazzo,TRENTO,Trentino-Alto Adige,Bar Teatro,2014,2208013392,11.6008139,46.3134334
Predazzo,TRENTO,Trentino-Alto Adige,Cinema,2014,269955384,11.6006178,46.3135289
Rovereto,TRENTO,Trentino-Alto Adige,Supercinema Rosmini,2010,417419594,11.0434366,45.8907487
Trento,TRENTO,Trentino-Alto Adige,Supercinema Vittoria,2012,269184853,11.1240549,46.0698347
Bardolino,VERONA,Veneto,,2012,835598169,10.7221016,45.5479131
Cerea,VERONA,Veneto,Cinema Mignon,2011,1402598138,11.2118924999999,45.1952329
Cerea,VERONA,Veneto,Cinema Principe,2014,3214419210,11.2106936,45.1932225999999
Isola della Scala,VERONA,Veneto,Cap. Bovo,2012,1740460012,11.0053564,45.2726153999999
Legnago,VERONA,Veneto,Cinema Italia,2014,1417495630,11.3110333,45.1912147999999
San Bonifacio,VERONA,Veneto,Cinema Cristallo,2014,1941683049,11.2712155,45.3964647
Sommacampagna,VERONA,Veneto,,2013,2407813146,10.8411621,45.4082714999999
Sona,VERONA,Veneto,The space cinemas,2014,2989532864,10.864513,45.4394666
Valeggio sul Mincio,VERONA,Veneto,,2014,2835348134,10.7324734999999,45.3549861999999
Verona,VERONA,Veneto,Arena estiva Fiume,2013,2381215266,10.9764406999999,45.4432746
Verona,VERONA,Veneto,Cinema Diamante,2013,1462387106,10.973502,45.4203812
Verona,VERONA,Veneto,Cinema Multisala Rivoli,2014,1152590532,10.9928919,45.4396774
Verona,VERONA,Veneto,Cinema Pindemonte,2011,262307626,10.9819379,45.4566675
Asiago,VICENZA,Veneto,Lux,2011,1373709124,11.5118712999999,45.8767222999999
Bassano del Grappa,VICENZA,Veneto,Astra,2010,506466076,11.735906,45.7687383
Bassano del Grappa,VICENZA,Veneto,Cinema all'aperto Giardini Parolini,2012,1795363443,11.738396,45.7637775999999
Bassano del Grappa,VICENZA,Veneto,Cinema Grotta,2013,1421298580,11.7340456999999,45.7672674
Bassano del Grappa,VICENZA,Veneto,Metropolis cinema multisala,2014,506461391,11.7355944,45.7430007
Bassano del Grappa,VICENZA,Veneto,Sala Martinovich,2012,1587579132,11.7344823,45.7630638999999
Gallio,VICENZA,Veneto,Cineghel,2012,1762104950,11.5459344,45.8921955
Malo,VICENZA,Veneto,Aurora,2014,3135341630,11.4043614,45.6564491999999
Marostica,VICENZA,Veneto,Sala Micropolis,2014,2878909741,11.6120253,45.7740568999999
Rossano Veneto,VICENZA,Veneto,Cinema Estivo all'aperto,2011,1567309156,11.800858,45.7064772
Schio,VICENZA,Veneto,Cinema Salesiani,2011,1411213452,11.3593148,45.7118261
Schio,VICENZA,Veneto,Cinema Teatro Pasubio,2015,345834526,11.3439244,45.7149542
Schio,VICENZA,Veneto,Cinema Teatro Sociale,2015,341157821,11.3560868999999,45.7141676999999
Tonezza del Cimone,VICENZA,Veneto,Cinema Tonezza,2015,3914291067,11.3458703,45.8566122
Torrebelvicino,VICENZA,Veneto,Cinema Arcobaleno,2010,311389234,11.3123337999999,45.7180869
Torri di Quartesolo,VICENZA,Veneto,The Space,2014,1998787402,11.6227901,45.5104097999999
Valdagno,VICENZA,Veneto,Cinema Teatro Super,2012,1800416591,11.3011722999999,45.6465044999999
Vicenza,VICENZA,Veneto,Cinema Patronato,2014,2801987021,11.5461440999999,45.5508259
Vicenza,VICENZA,Veneto,Cinema Roma,2014,2115061857,11.5420789,45.5468298999999
Vicenza,VICENZA,Veneto,Cinema Teatro San Marco,2011,612195662,11.5427409999999,45.5539594999999
Vicenza,VICENZA,Veneto,Ex-Cinema Arlecchino,2015,3538934250,11.5382536,45.5469148999999
Vicenza,VICENZA,Veneto,Patronato Leone XIII Ekué,2014,2780522369,11.5456214,45.55053
Belluno,BELLUNO,Veneto,,2016,4018386158,12.2316258,46.1570625
Feltre,BELLUNO,Veneto,OffiCinema,2013,300997241,11.9098618999999,46.0161333
Santo Stefano di Cadore,BELLUNO,Veneto,Cinema Piave,2014,3014739319,12.5495195,46.5571977999999
QUERO VAS,BELLUNO,Veneto,,2015,1824482351,11.9317089,45.9237157999999
Castelfranco Veneto,TREVISO,Veneto,Multisala Hesperia,2014,736523050,11.9282351,45.6736349999999
Mogliano Veneto,TREVISO,Veneto,Cinema Busan,2010,857484461,12.2380181,45.561509
